web-scraper-order,web-scraper-start-url,Product_Name,Product_Prices,Product_Sold
"1714669991-32","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","ON Running Cloud 5 Mens Sneakers Black 59,98986 Workout Shoes Running Shoes","IDR2,390,863.92","2 watching"
"1714669991-33","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Adidas Beckenbauer Originals Mens Shoes Trainers Uk Sizes 7 to 12   B34800","IDR1,208,798.50","47 sold"
"1714669991-34","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Adidas Mens Ultraboost 22 / White Blue Red / RRP £160","IDR1,551,550.00","7 watching"
"1714669991-35","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","New Balance 'Warped Multi-Color' U9060WRB Sports running shoes","IDR3,000,000.00",""
"1714669991-36","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Kineya Muteki Tabi Japanese Running Shoes Ninja Split Toe Black Barefoot Feeling","IDR1,241,935.48","94 watching"
"1714669991-37","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","ASICS Superblast Breathable Mesh Outdoor Anti slip Running Shoes 1013A127 700","IDR3,064,516.13",""
"1714669991-38","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Travis Scott x Nike SB Dunk Low Premium QS 'Cactus Jack' CT5053‑001","IDR3,838,709.68",""
"1714669991-39","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Travis Scott x Air Jordan 1 Low Golf 'Neutral Olive' Dunk FZ3124‑200","IDR5,129,032.26",""
"1714669991-40","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Balenciaga Cargo Men's Gray/White Low Top Sneakers New Paris Fashion Week","","13 watching"
"1714669991-41","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Puma Explore NITRO Mid GTX - GORE-TEX - 377860-03 Hiking Shoes Outdoor Shoes","IDR1,718,837.31",""
"1714669991-42","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Adidas Jeans Originals Mens Shoes Trainers Uk Size 7 - 12   IE5318  BLUE WHITE","IDR1,309,548.50","61 watching"
